"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","7","1,362","0.56"
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran Family","1","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","3","570","0.24"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","3","154","0.06"
"American Sikh Council","Other","Other Groups Family","3","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","3","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","750","0.31"
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox) Family","1","200","0.08"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","2","1,500","0.62"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","88","16,685","6.90"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","3","846","0.35"
"Baha'i Faith","Other","Other Groups Family","8","923","0.38"
"Brethren in Christ Church","Evangelical Protestant","Friends/Brethren Family","5","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","2","3,676","1.52"
"Buddhism, Theravada","Buddhism","Buddhism Family","6","3,713","1.54"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","110","0.05"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","12","",""
"Catholic Church","Catholic","Catholic Liturgical Family","51","652,046","269.64"
"Chabad Judaism","Judaism","","8","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","14","8,661","3.58"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","2","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","6","252","0.10"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","8","1,778","0.74"
"Christian Congregation in North America","Evangelical Protestant","Pentecostal Family","1","",""
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","3","660","0.27"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","5","394","0.16"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","4","992","0.41"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","17","764","0.32"
"Church of God in Christ","Black Protestant","Pentecostal Family","19","21,692","8.97"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","8","",""
"Church of Jesus Christ (Bickertonite)","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","89","56,159","23.22"
"Church of the Lutheran Confession","Evangelical Protestant","Lutheran Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","21","3,463","1.43"
"Churches of Christ","Evangelical Protestant","Restorationists Family","27","3,845","1.59"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Conservative Judaism","Judaism","Judaism Family","3","410","0.17"
"Converge Worldwide","Evangelical Protestant","Baptist Family","8","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","5","1,354","0.56"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","3","",""
"Ecumenical Catholic Communion","Other Christians","","2","35","0.01"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","13","2,426","1.00"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","130","0.05"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","3","253","0.10"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","13","",""
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","1","44","0.02"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","16","4,103","1.70"
"Evangelical Methodist Church","Evangelical Protestant","Methodist Family","1","",""
