"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Association","Evangelical Protestant","Baptist Family","2","128","0.47"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","2","554","2.05"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","3","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","12","1,479","5.49"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","5","3,171","11.76"
"Baha'i Faith","Other","Other Groups Family","3","237","0.88"
"Buddhism, Mahayana","Buddhism","Buddhism Family","2","1,275","4.73"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","2","221","0.82"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","7","",""
"Catholic Church","Catholic","Catholic Liturgical Family","17","89,075","330.35"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","478","1.77"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","0","0.00"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","458","1.70"
"Church of Christ, Scientist","Other Christians","Christian Science Family","5","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","0","0.00"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","8","0.03"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","2","79","0.29"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","12","6,216","23.05"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","6","4,489","16.65"
"Churches of Christ","Evangelical Protestant","Restorationists Family","9","622","2.31"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.59"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Conservative Judaism","Judaism","Judaism Family","1","108","0.40"
"Converge Worldwide","Evangelical Protestant","Baptist Family","4","750","2.78"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","7","1,158","4.29"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","5","1,470","5.45"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","28","10,062","37.32"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","13","0.05"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","180","0.67"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","2","41","0.15"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","23","0.09"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","5","231","0.86"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","10","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","4","769","2.85"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","565","2.10"
"Mennonite Church, USA","Evangelical Protestant","Mennonite/Amish Family","1","70","0.26"
"Muslim Estimate","Islam","Islam Family","2","2,218","8.23"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","3","1,078","4.00"
"New Apostolic Church USA","Other Christians","Other Groups Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","37","9,600","35.60"
"North American Lutheran Church","Evangelical Protestant","Lutheran Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","217","0.80"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","7","1,640","6.08"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","2","285","1.06"
"Reform Judaism","Judaism","Judaism Family","2","818","3.03"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","1,635","6.06"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","11","979","3.63"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","225","0.83"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","3","855","3.17"
"United Methodist Church","Mainline Protestant","Methodist Family","7","1,807","6.70"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","3","",""
"Vicariate for the Palestinian and Jordanian Orthodox Christian Communities in America","Orthodox","Eastern Liturgical (Orthodox) Family","1","25","0.09"
" "," "," ","263.0","145,470.0"," "
