"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","1","107","6.25"
"Baha'i Faith","Other","Other Groups Family","1","36","2.10"
"Catholic Church","Catholic","Catholic Liturgical Family","2","2,410","140.68"
"Christadelphians","Other Christians","Other Groups Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","243","14.18"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","74","4.32"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","135","7.88"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","276","16.11"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","7","1,140","66.55"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","153","8.93"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","1","30","1.75"
"United Methodist Church","Mainline Protestant","Methodist Family","2","326","19.03"
" "," "," ","24.0","4,930.0"," "
