"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","2","308","0.17"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","4","444","0.25"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","86","0.05"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","10","1,876","1.05"
"American Sikh Council","Other","Other Groups Family","3","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","3","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","704","0.40"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,600","0.90"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","45","15,643","8.78"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","296","0.17"
"Baha'i Faith","Other","Other Groups Family","14","1,397","0.78"
"Buddhism, Mahayana","Buddhism","Buddhism Family","43","19,243","10.80"
"Buddhism, Theravada","Buddhism","Buddhism Family","8","3,128","1.76"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","8","543","0.30"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","56","447,369","251.10"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","15","2,921","1.64"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","3","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","8","612","0.34"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","10","1,820","1.02"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","2","308","0.17"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","5","593","0.33"
"Church of Christ, Scientist","Other Christians","Christian Science Family","8","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","4","4,887","2.74"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","7","644","0.36"
"Church of God in Christ","Black Protestant","Pentecostal Family","9","925","0.52"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","3","88","0.05"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","45","24,739","13.89"
"Church of the Lutheran Confession","Evangelical Protestant","Lutheran Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","10","2,315","1.30"
"Churches of Christ","Evangelical Protestant","Restorationists Family","14","1,963","1.10"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.09"
