"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","3","491","1.19"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","123","0.30"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","12","2,439","5.90"
"American Sikh Council","Other","Other Groups Family","1","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","166","0.40"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","18","3,275","7.92"
"Baha'i Faith","Other","Other Groups Family","4","205","0.50"
"Buddhism, Mahayana","Buddhism","Buddhism Family","3","544","1.32"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","5","",""
"Catholic Church","Catholic","Catholic Liturgical Family","10","81,158","196.34"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","2","228","0.55"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","211","0.51"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","1,665","4.03"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","3","614","1.49"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","115","0.28"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","2","",""
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","3","353","0.85"
"Church of God in Christ","Black Protestant","Pentecostal Family","6","934","2.26"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","3","146","0.35"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","21","10,313","24.95"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","6","1,729","4.18"
"Churches of Christ","Evangelical Protestant","Restorationists Family","13","1,183","2.86"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","10","0.02"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.38"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","4","",""
"Conservative Judaism","Judaism","Judaism Family","1","35","0.08"
"Converge Worldwide","Evangelical Protestant","Baptist Family","4","750","1.81"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","4","1,130","2.73"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","1,040","2.52"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","4","1,221","2.95"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","4","0.01"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","1","",""
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","400","0.97"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","2","500","1.21"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","6","359","0.87"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","2","97","0.23"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","7","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","1,328","3.21"
"Muslim Estimate","Islam","Islam Family","3","3,327","8.05"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","98","0.24"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","57","0.14"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","1","221","0.53"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","184","0.45"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","43","18,923","45.78"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","1","49","0.12"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","217","0.52"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","8","1,681","4.07"
"Salvation Army","Evangelical Protestant","Holiness Family","1","145","0.35"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","6","1,340","3.24"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","35","13,845","33.50"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","3","345","0.83"
"United Methodist Church","Mainline Protestant","Methodist Family","6","1,724","4.17"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","5","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","2","227","0.55"
" "," "," ","294.0","155,307.0"," "
