"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","200","0.26"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","80","0.10"
"American Baptist Association","Evangelical Protestant","Baptist Family","3","348","0.45"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","8","2,498","3.21"
"American Sikh Council","Other","Other Groups Family","4","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","29","7,669","9.84"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","1","257","0.33"
"Baha'i Faith","Other","Other Groups Family","2","444","0.57"
"Baptist Missionary Association of America","Evangelical Protestant","Baptist Family","1","",""
"Brethren Church (Ashland, Ohio)","Evangelical Protestant","Friends/Brethren Family","2","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","4","3,194","4.10"
"Buddhism, Theravada","Buddhism","Buddhism Family","6","3,456","4.44"
"Catholic Church","Catholic","Catholic Liturgical Family","19","167,694","215.20"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","10","1,576","2.02"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","3","50","0.06"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","189","0.24"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","160","0.21"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","6","2,221","2.85"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","80","0.10"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","6","300","0.38"
"Church of God in Christ","Black Protestant","Pentecostal Family","11","2,160","2.77"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","20","11,660","14.96"
"Church of the Lutheran Confession","Evangelical Protestant","Lutheran Family","1","",""
