"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","2","652","0.72"
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran Family","1","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","4","684","0.75"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","6","1,369","1.51"
"American Sikh Council","Other","Other Groups Family","7","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","6","",""
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","52","17,431","19.17"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","2","740","0.81"
"Baha'i Faith","Other","Other Groups Family","1","157","0.17"
"Baptist Missionary Association of America","Evangelical Protestant","Baptist Family","1","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","28","0.03"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","1,296","1.43"
"Catholic Church","Catholic","Catholic Liturgical Family","31","236,456","260.06"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","3","1,050","1.15"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","203","0.22"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","3","620","0.68"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","240","0.26"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","300","0.33"
"Church of Christ, Scientist","Other Christians","Christian Science Family","2","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","1","140","0.15"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","10","500","0.55"
"Church of God in Christ","Black Protestant","Pentecostal Family","15","2,298","2.53"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","7","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","37","21,571","23.72"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","2","183","0.20"
"Church of the Genuine Orthodox Christians of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","50","0.05"
"Church of the Living God (Christian Workers for Fellowship)","Black Protestant","Pentecostal Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","15","5,674","6.24"
"Churches of Christ","Evangelical Protestant","Restorationists Family","25","3,137","3.45"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Conservative Judaism","Judaism","Judaism Family","1","35","0.04"
"Converge Worldwide","Evangelical Protestant","Baptist Family","2","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","650","0.71"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","4","190","0.21"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","4","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","3","364","0.40"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","1","65","0.07"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","4","720","0.79"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","2","780","0.86"
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","240","0.26"
"Hindu Yoga and Meditation","Hinduism","","3","772","0.85"
"Hindu, Traditional Temples","Hinduism","Hinduism Family","1","270","0.30"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","20","4,306","4.74"
"International Churches of Christ","Evangelical Protestant","Baptist Family","1","85","0.09"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","61","15,666","17.23"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","10","2,410","2.65"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","1","450","0.49"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","12","1,904","2.09"
"Mennonite Church, USA","Evangelical Protestant","Mennonite/Amish Family","1","",""
"Muslim Estimate","Islam","Islam Family","4","3,592","3.95"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","5","97","0.11"
