"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","3","325","0.35"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","1","195","0.21"
"American Baptist Association","Evangelical Protestant","Baptist Family","3","585","0.63"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","17","5,476","5.89"
"American Sikh Council","Other","Other Groups Family","6","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","7","",""
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox) Family","1","460","0.49"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","3","5,000","5.37"
"Armenian Evangelical Union of North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","50","27,227","29.26"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","561","0.60"
"Baha'i Faith","Other","Other Groups Family","2","474","0.51"
"Buddhism, Mahayana","Buddhism","Buddhism Family","11","6,672","7.17"
"Buddhism, Theravada","Buddhism","Buddhism Family","5","2,755","2.96"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholic Liturgical Family","43","288,324","309.88"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","5","2,206","2.37"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","3","351","0.38"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","5","3,156","3.39"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","195","0.21"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","4","353","0.38"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","2","",""
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","9","860","0.92"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","8","1,289","1.39"
"Church of God in Christ","Black Protestant","Pentecostal Family","10","2,925","3.14"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","9","448","0.48"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","36","21,404","23.00"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","2","140","0.15"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","23","2,384","2.56"
"Churches of Christ","Evangelical Protestant","Restorationists Family","27","3,398","3.65"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.17"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","221","0.24"
"Conservative Judaism","Judaism","Judaism Family","1","86","0.09"
"Converge Worldwide","Evangelical Protestant","Baptist Family","9","3,810","4.09"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","120","0.13"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","285","0.31"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","",""
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","7","897","0.96"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","6","2,660","2.86"
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","1","91","0.10"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","14","4,331","4.65"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","5","2,187","2.35"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","5","0.01"
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","1","101","0.11"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","3","",""
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","4","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","2","1,788","1.92"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","3","85","0.09"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","2","1,992","2.14"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","10","0.01"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","14","4,470","4.80"
"International Churches of Christ","Evangelical Protestant","Baptist Family","1","92","0.10"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","6","482","0.52"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","18","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","5","961","1.03"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","2","708","0.76"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","23","4,963","5.33"
"Mennonite Church, USA","Evangelical Protestant","Mennonite/Amish Family","4","542","0.58"
"Muslim Estimate","Islam","Islam Family","4","2,868","3.08"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","5","299","0.32"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","3","520","0.56"
"New Apostolic Church USA","Other Christians","Other Groups Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","102","36,092","38.79"
"North American Lutheran Church","Evangelical Protestant","Lutheran Family","1","",""
"Orthodox Judaism","Judaism","Judaism Family","1","60","0.06"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","16","1,740","1.87"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","10","1,661","1.79"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","115","0.12"
"Reform Judaism","Judaism","Judaism Family","1","950","1.02"
"Reformed Baptist Church","Evangelical Protestant","Baptist Family","1","",""
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","1","175","0.19"
"Reformed Presbyterian Church of North America (Covenanters)","Evangelical Protestant","Presbyterian/Reformed Family","1","93","0.10"
"Salvation Army","Evangelical Protestant","Holiness Family","3","431","0.46"
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","1","400","0.43"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","18","6,918","7.44"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","57","15,248","16.39"
"Unaffiliated Amish-Mennonite (Conservative)","Evangelical Protestant","Mennonite/Amish Family","1","114","0.12"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","468","0.50"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","3","1,043","1.12"
"United Methodist Church","Mainline Protestant","Methodist Family","20","3,511","3.77"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","5","",""
"United Reformed Churches in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","162","0.17"
" "," "," ","701.0","481,076.0"," "
