"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Advent Christian Church","Evangelical Protestant","Adventist Family","1","31","0.11"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","62","0.23"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","200","0.74"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","7","334","1.23"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","140","0.52"
"Baha'i Faith","Other","Other Groups Family","4","711","2.62"
"Buddhism, Mahayana","Buddhism","Buddhism Family","4","1,503","5.55"
"Buddhism, Theravada","Buddhism","Buddhism Family","3","1,318","4.87"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","9","3,370","12.44"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","14","69,975","258.34"
"Chabad Judaism","Judaism","","3","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","3","30","0.11"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","5","280","1.03"
"Church of God in Christ","Black Protestant","Pentecostal Family","2","190","0.70"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","7","4,081","15.07"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","136","0.50"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","148","0.55"
"Communion of Reformed Evangelical Churches","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","5","",""
"Conservative Judaism","Judaism","Judaism Family","1","122","0.45"
"ECO: A Covenant Order of Evangelical Presbyterians","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","5","882","3.26"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","228","0.84"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","3","585","2.16"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","54","0.20"
"Grace Communion International","Evangelical Protestant","","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","2","1,000","3.69"
"Hindu Yoga and Meditation","Hinduism","","9","1,137","4.20"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","3","418","1.54"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","17","3,990","14.73"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","245","0.90"
"Malankara (Indian) Orthodox Syrian Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","19","0.07"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","2","40","0.15"
"Missionary Church, The","Evangelical Protestant","Holiness Family","1","82","0.30"
"Muslim Estimate","Islam","Islam Family","2","230","0.85"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","133","0.49"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","5","1,196","4.42"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","17","9,330","34.45"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","4","284","1.05"
"Reform Judaism","Judaism","Judaism Family","1","1,418","5.24"
"Salvation Army","Evangelical Protestant","Holiness Family","2","173","0.64"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","1,226","4.53"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","7","471","1.74"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","113","0.42"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","3","539","1.99"
"United Methodist Church","Mainline Protestant","Methodist Family","4","524","1.93"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","2","",""
" "," "," ","188.0","106,948.0"," "
