"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","4","972","0.69"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","2","484","0.34"
"Allegheny Wesleyan Methodist Connection (Original Allegheny Conference)","Evangelical Protestant","Methodist Family","1","151","0.11"
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran Family","2","",""
"American Baptist Association","Evangelical Protestant","Baptist Family","3","523","0.37"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","15","6,303","4.44"
"American Sikh Council","Other","Other Groups Family","1","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","2","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","130","0.09"
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal Family","1","44","0.03"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,200","0.85"
"Armenian Evangelical Union of North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","56","25,208","17.77"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","2","255","0.18"
"Baha'i Faith","Other","Other Groups Family","8","1,562","1.10"
"Buddhism, Mahayana","Buddhism","Buddhism Family","25","12,955","9.13"
"Buddhism, Theravada","Buddhism","Buddhism Family","2","600","0.42"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","63","0.04"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","8","",""
"Catholic Church","Catholic","Catholic Liturgical Family","45","229,725","161.92"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","14","4,498","3.17"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","6","819","0.58"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","3","908","0.64"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","2","373","0.26"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","7","386","0.27"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","2","",""
"Church of Christ, Scientist","Other Christians","Christian Science Family","4","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","7","580","0.41"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","7","1,272","0.90"
"Church of God in Christ","Black Protestant","Pentecostal Family","18","4,790","3.38"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","4","158","0.11"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","77","44,951","31.68"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal Family","1","",""
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","71","0.05"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","11","2,844","2.00"
"Churches of Christ","Evangelical Protestant","Restorationists Family","21","3,317","2.34"
"Communion of Reformed Evangelical Churches","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.11"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","7","",""
"Conservative Judaism","Judaism","Judaism Family","1","1,312","0.92"
"Converge Worldwide","Evangelical Protestant","Baptist Family","5","450","0.32"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","300","0.21"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","12","3,752","2.64"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","",""
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","11","6,322","4.46"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","4","620","0.44"
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","3","190","0.13"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","16","6,743","4.75"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","2,147","1.51"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","32","0.02"
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","3","234","0.16"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","56","0.04"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","1","",""
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","2","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","5","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","2","2,750","1.94"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","6","202","0.14"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","1","85","0.06"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","4","1,443","1.02"
"Hinduism: Traditional Hindu Temples","Hinduism","Hinduism Family","2","7,000","4.93"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","5","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","56","0.04"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","9","1,947","1.37"
"International Churches of Christ","Evangelical Protestant","Baptist Family","1","131","0.09"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","4","379","0.27"
"Jain","Other","Other Groups Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","24","",""
"Korean Presbyterian Church Abroad","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","10","2,778","1.96"
"Malankara (Indian) Orthodox Syrian Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","45","0.03"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","6","1,407","0.99"
"Missionary Church, The","Evangelical Protestant","Holiness Family","2","230","0.16"
"Muslim Estimate","Islam","Islam Family","11","12,198","8.60"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","35","0.02"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","57","0.04"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","2","622","0.44"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","5","4,915","3.46"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","3","429","0.30"
"National Spiritualist Association of Churches","Other","Spiritualist Family","1","",""
"New Apostolic Church USA","Other Christians","Other Groups Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","110","54,060","38.10"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","19","8,848","6.24"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","1","147","0.10"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","2","450","0.32"
"Orthodox Judaism","Judaism","Judaism Family","3","500","0.35"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","6","652","0.46"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","17","5,851","4.12"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","5","364","0.26"
"Reform Judaism","Judaism","Judaism Family","3","2,762","1.95"
"Reformed Baptist Church","Evangelical Protestant","Baptist Family","1","",""
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","3","2,057","1.45"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","211","0.15"
"Romanian Orthodox Metropolia of the Americas","Orthodox","Eastern Liturgical (Orthodox) Family","1","150","0.11"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","250","0.18"
"Salvation Army","Evangelical Protestant","Holiness Family","2","1,325","0.93"
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","1","400","0.28"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","18","7,940","5.60"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","75","24,551","17.30"
"Union of Messianic Jewish Congregations","Other Christians","Other Groups Family","1","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","2","567","0.40"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","5","734","0.52"
"United Methodist Church","Mainline Protestant","Methodist Family","27","7,534","5.31"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","10","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","3","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","1","49","0.03"
"Wesleyan Church","Evangelical Protestant","Holiness Family","7","1,610","1.13"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","2","806","0.57"
" "," "," ","876.0","525,985.0"," "
