"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","3","134","2.98"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","8","494","11.00"
"Baha'i Faith","Other","Other Groups Family","0","37","0.82"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","250","5.57"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","3","",""
"Catholic Church","Catholic","Catholic Liturgical Family","12","4,089","91.07"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","170","3.79"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","2","113","2.52"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","32","0.71"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God in Christ","Black Protestant","Pentecostal Family","1","178","3.96"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","1,629","36.28"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","274","6.10"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","60","1.34"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","71","1.58"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","2","265","5.90"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","237","5.28"
"Evangelical Methodist Church","Evangelical Protestant","Methodist Family","1","",""
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","1","77","1.71"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","98","2.18"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","4","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","80","1.78"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","13","1,360","30.29"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","2.43"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","3","151","3.36"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","454","10.11"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","7","1,640","36.53"
"United Methodist Church","Mainline Protestant","Methodist Family","6","851","18.95"
" "," "," ","92.0","12,853.0"," "
