"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","1","39","4.03"
"Baha'i Faith","Other","Other Groups Family","0","19","1.96"
"Catholic Church","Catholic","Catholic Liturgical Family","2","606","62.56"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","344","35.52"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","48","4.96"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","36","3.72"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","1","",""
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","83","8.57"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","2","180","18.58"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","110","11.36"
" "," "," ","16.0","1,465.0"," "
