"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","3","350","25.39"
"Baha'i Faith","Other","Other Groups Family","0","7","0.51"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","1","20","1.45"
"Catholic Church","Catholic","Catholic Liturgical Family","3","269","19.51"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","385","27.93"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","151","10.95"
"Churches of Christ","Evangelical Protestant","Restorationists Family","2","76","5.51"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","74","5.37"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","2","",""
"New Apostolic Church USA","Other Christians","Other Groups Family","1","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","4","236","17.12"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","148","10.74"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","92","6.67"
" "," "," ","26.0","1,808.0"," "
