"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","2","1,657","0.55"
"American Baptist Association","Evangelical Protestant","Baptist Family","2","104","0.03"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","26","6,357","2.11"
"American Sikh Council","Other","Other Groups Family","5","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","7","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","5","1,831","0.61"
"Armenian Apostolic Church (Catholicosate of Cilicia)","Orthodox","Eastern Liturgical (Orthodox) Family","1","360","0.12"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,200","0.40"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","68","29,899","9.93"
"Associate Reformed Presbyterian Church (General Synod)","Evangelical Protestant","Presbyterian/Reformed Family","1","37","0.01"
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","1","",""
"Association of Messianic Congregations","Other Christians","Other Groups Family","1","",""
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","11","7,340","2.44"
"Baha'i Faith","Other","Other Groups Family","24","2,729","0.91"
"Buddhism, Mahayana","Buddhism","Buddhism Family","56","24,964","8.29"
"Buddhism, Theravada","Buddhism","Buddhism Family","3","996","0.33"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","2","71","0.02"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","48","",""
"Catholic Church","Catholic","Catholic Liturgical Family","67","797,473","264.92"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","22","9,387","3.12"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","14","2,269","0.75"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","20","15,668","5.20"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","123","0.04"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","23","3,014","1.00"
"Church of Christ, Scientist","Other Christians","Christian Science Family","12","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","6","252","0.08"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","15","5,388","1.79"
"Church of God in Christ","Black Protestant","Pentecostal Family","2","460","0.15"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish Family","1","1","0.00"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","6","663","0.22"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","121","66,772","22.18"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","156","0.05"
"Church of the Lutheran Brethren of America","Evangelical Protestant","Lutheran Family","1","180","0.06"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","26","3,867","1.28"
"Churches of Christ","Evangelical Protestant","Restorationists Family","31","3,801","1.26"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","3","492","0.16"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","11","",""
"Conservative Judaism","Judaism","Judaism Family","4","3,280","1.09"
"Conservative Lutheran Association","Evangelical Protestant","Lutheran Family","2","",""
"Converge Worldwide","Evangelical Protestant","Baptist Family","6","1,800","0.60"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","4","5,050","1.68"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","22","11,531","3.83"
"Eritrean Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","50","0.02"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","6","3,482","1.16"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","15","9,100","3.02"
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","9","3,264","1.08"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","35","10,846","3.60"
"Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","2","107","0.04"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","2","335","0.11"
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","6","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","8","1,105","0.37"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","1","",""
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"Grace Gospel Fellowship","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","3","2,575","0.86"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","7","303","0.10"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","1","12","0.00"
"Hinduism: Indian-American Hindu Temple Associations","Hinduism","Hinduism Family","5","4,204","1.40"
"Hinduism: Traditional Hindu Temples","Hinduism","Hinduism Family","2","900","0.30"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","9","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","50","0.02"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","34","5,898","1.96"
"International Churches of Christ","Evangelical Protestant","Baptist Family","0","391","0.13"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","141","0.05"
"Jain","Other","Other Groups Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","29","",""
"Korean Presbyterian Church Abroad","Evangelical Protestant","Presbyterian/Reformed Family","16","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","15","",""
"Korean-American Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","17","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","30","17,377","5.77"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","7","8,965","2.98"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","1","430","0.14"
"Mennonite Church, USA","Evangelical Protestant","Mennonite/Amish Family","1","52","0.02"
"Missionary Church, The","Evangelical Protestant","Holiness Family","1","60","0.02"
"Muslim Estimate","Islam","Islam Family","20","24,674","8.20"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","3","337","0.11"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","1","56","0.02"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","1","184","0.06"
"New Apostolic Church USA","Other Christians","Other Groups Family","1","",""
