"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","2","335","0.76"
"American Baptist Association","Evangelical Protestant","Baptist Family","4","549","1.24"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","5","1,637","3.70"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","4","",""
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal Family","1","47","0.11"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","500","1.13"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","34","10,611","24.00"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","228","0.52"
"Baha'i Faith","Other","Other Groups Family","1","274","0.62"
"Brethren in Christ Church","Evangelical Protestant","Friends/Brethren Family","1","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","3","2,511","5.68"
"Buddhism, Theravada","Buddhism","Buddhism Family","2","1,664","3.76"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","3","",""
"Catholic Church","Catholic","Catholic Liturgical Family","26","102,772","232.42"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","3","1,114","2.52"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","3","181","0.41"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","5","1,864","4.22"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","1,332","3.01"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","5","698","1.58"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","15","1,091","2.47"
"Church of God in Christ","Black Protestant","Pentecostal Family","2","221","0.50"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","6","453","1.02"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","15","7,740","17.50"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","74","0.17"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","25","4,927","11.14"
"Church of the United Brethren in Christ, USA","Evangelical Protestant","Methodist Family","1","19","0.04"
"Churches of Christ","Evangelical Protestant","Restorationists Family","23","2,124","4.80"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","1","67","0.15"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","0.36"
"Converge Worldwide","Evangelical Protestant","Baptist Family","4","360","0.81"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","150","0.34"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","203","0.46"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","2","183","0.41"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","3","580","1.31"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","868","1.96"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","4","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","1","",""
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","48","0.11"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","9","938","2.12"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","4","285","0.64"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","9","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","5","1,460","3.30"
"Mennonite Brethren Churches, U.S. Conference of","Evangelical Protestant","Mennonite/Amish Family","5","1,503","3.40"
"Muslim Estimate","Islam","Islam Family","2","1,359","3.07"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","5","308","0.70"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","45","11,423","25.83"
"North American Lutheran Church","Evangelical Protestant","Lutheran Family","1","",""
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","20","2,175","4.92"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","10","1,388","3.14"
"Progressive National Baptist Convention, Inc.","Black Protestant","Baptist Family","1","201","0.45"
"Reform Judaism","Judaism","Judaism Family","1","211","0.48"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","3","1,183","2.68"
"Salvation Army","Evangelical Protestant","Holiness Family","2","517","1.17"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","15","3,780","8.55"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","31","4,575","10.35"
"Unitarian Universalist Association","Other Christians","Liberal Family","2","66","0.15"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","2","371","0.84"
"United Methodist Church","Mainline Protestant","Methodist Family","9","2,811","6.36"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","9","",""
"United Reformed Churches in North America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
" "," "," ","407.0","180,137.0"," "
