"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","374","13.07"
"Baha'i Faith","Other","Other Groups Family","1","36","1.26"
"Buddhism, Mahayana","Buddhism","Buddhism Family","1","10","0.35"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","1","1,585","55.40"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","47","1.64"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","102","3.57"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","65","2.27"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","1,213","42.40"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","49","1.71"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","68","2.38"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","130","4.54"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","338","11.81"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","503","17.58"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","3","462","16.15"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","3.81"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","1","330","11.53"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","3","173","6.05"
"United Methodist Church","Mainline Protestant","Methodist Family","3","368","12.86"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
" "," "," ","32.0","5,962.0"," "
