"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Baha'i Faith","Other","Other Groups Family","0","8","0.61"
"Catholic Church","Catholic","Catholic Liturgical Family","4","1,155","87.53"
"Chabad Judaism","Judaism","","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","2","680","51.53"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","71","5.38"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","1","150","11.37"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","13","0.99"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","3","57","4.32"
"United Methodist Church","Mainline Protestant","Methodist Family","1","24","1.82"
" "," "," ","15.0","2,158.0"," "
