"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","202","0.95"
"American Baptist Association","Evangelical Protestant","Baptist Family","1","162","0.77"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","2","233","1.10"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","14","1,145","5.41"
"Baha'i Faith","Other","Other Groups Family","1","178","0.84"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","2","40","0.19"
"Catholic Church","Catholic","Catholic Liturgical Family","6","22,429","105.98"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","5","1,682","7.95"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","182","0.86"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","433","2.05"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","90","0.43"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","2","210","0.99"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","4","388","1.83"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","208","0.98"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","",""
"Church of God of the Apostolic Faith, Inc.","Evangelical Protestant","Pentecostal Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","16","9,328","44.08"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","3","2,568","12.13"
"Churches of Christ","Evangelical Protestant","Restorationists Family","7","389","1.84"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","3","",""
"Converge Worldwide","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","4","600","2.84"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","4","",""
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","526","2.49"
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","2","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","1","71","0.34"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","41","0.19"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","1","0","0.00"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","3","",""
"Hindu Yoga and Meditation","Hinduism","","2","410","1.94"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","328","1.55"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","12","3,296","15.57"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","4","530","2.50"
"Mennonite Christian Fellowship","Evangelical Protestant","Mennonite/Amish Family","1","63","0.30"
"Missionary Church, The","Evangelical Protestant","Holiness Family","1","31","0.15"
"Muslim Estimate","Islam","Islam Family","1","300","1.42"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","30","0.14"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","3","510","2.41"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","15","6,120","28.92"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","90","0.43"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","7","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","1,577","7.45"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","353","1.67"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","1","36","0.17"
"Salvation Army","Evangelical Protestant","Holiness Family","2","112","0.53"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","7","3,107","14.68"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","16","1,762","8.33"
"Syrian (Syriac) Orthodox Church of Antioch","Orthodox","Eastern Liturgical (Orthodox) Family","1","210","0.99"
"Tao","Other","Other Groups Family","1","",""
"The Local Churches","Evangelical Protestant","","1","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","1","63","0.30"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","44","0.21"
"United Methodist Church","Mainline Protestant","Methodist Family","7","1,191","5.63"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","3","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","192.0","61,268.0"," "
