"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","41","0.40"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","2","229","2.24"
"Baha'i Faith","Other","Other Groups Family","2","109","1.07"
"Buddhism, Mahayana","Buddhism","Buddhism Family","3","97","0.95"
"Buddhism, Theravada","Buddhism","Buddhism Family","1","100","0.98"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","5","2,280","22.30"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","3","7,837","76.65"
"Chabad Judaism","Judaism","","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","1","473","4.63"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","57","0.56"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","4","2,136","20.89"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","430","4.21"
"Churches of Christ","Evangelical Protestant","Restorationists Family","1","181","1.77"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","641","6.27"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","2","273","2.67"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","1","23","0.22"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","1","57","0.56"
"Hindu Yoga and Meditation","Hinduism","","6","1,266","12.38"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","70","0.68"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","6","1,092","10.68"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","151","1.48"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","2","80","0.78"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","9","8,152","79.73"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","1","47","0.46"
"Reform Judaism","Judaism","Judaism Family","1","189","1.85"
"Salvation Army","Evangelical Protestant","Holiness Family","1","61","0.60"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","3","847","8.28"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","4","1,326","12.97"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","217","2.12"
"United Methodist Church","Mainline Protestant","Methodist Family","5","726","7.10"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","78.0","29,188.0"," "
