"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Advent Christian Church","Evangelical Protestant","Adventist Family","1","116","0.04"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","5","1,998","0.61"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","4","690","0.21"
"American Baptist Association","Evangelical Protestant","Baptist Family","2","330","0.10"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","15","793","0.24"
"American Sikh Council","Other","Other Groups Family","2","",""
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal Family","9","",""
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal Family","1","",""
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","830","0.25"
"Apostolic Christian Church (Nazarene) - East Conference","Evangelical Protestant","Froehlich Churches Family","1","235","0.07"
"Apostolic Christian Church of America","Evangelical Protestant","Froehlich Churches Family","1","40","0.01"
"Apostolic Christian Faith","Evangelical Protestant","Froehlich Churches Family","1","9","0.00"
"Armenian Apostolic Church (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,500","0.45"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","86","18,606","5.64"
"Associate Reformed Presbyterian Church (General Synod)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Association of Free Lutheran Congregations","Evangelical Protestant","Lutheran Family","2","92","0.03"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","2","354","0.11"
"Baha'i Faith","Other","Other Groups Family","19","3,543","1.07"
"Buddhism, Mahayana","Buddhism","Buddhism Family","14","14,471","4.39"
"Buddhism, Theravada","Buddhism","Buddhism Family","13","7,229","2.19"
"Buddhism, Vajrayana","Buddhism","Buddhism Family","7","2,750","0.83"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","8","",""
"Catholic Church","Catholic","Catholic Liturgical Family","103","754,089","228.61"
"Chabad Judaism","Judaism","","20","",""
"Christadelphians","Other Christians","Other Groups Family","1","",""
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","17","2,245","0.68"
"Christian Brethren (Plymouth Brethren)","Evangelical Protestant","Independent Fundamentalist Family","6","",""
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","11","2,423","0.73"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","12","2,777","0.84"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","275","0.08"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","5","461","0.14"
"Church of Christ (Holiness) U.S.A","Evangelical Protestant","Holiness Family","1","",""
"Church of Christ, Scientist","Other Christians","Christian Science Family","4","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","7","3,100","0.94"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","6","29","0.01"
"Church of God in Christ","Black Protestant","Pentecostal Family","22","6,446","1.95"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","6","",""
"Church of Jesus Christ (Bickertonite)","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","108","68,148","20.66"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal Family","3","540","0.16"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","65","0.02"
"Church of the Genuine Orthodox Christians of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","60","0.02"
"Church of the Living God (Christian Workers for Fellowship)","Black Protestant","Pentecostal Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","36","4,941","1.50"
"Churches of Christ","Evangelical Protestant","Restorationists Family","40","5,255","1.59"
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","2","343","0.10"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","3","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","7","",""
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed Family","3","518","0.16"
"Conservative Judaism","Judaism","Judaism Family","7","4,739","1.44"
"Converge Worldwide","Evangelical Protestant","Baptist Family","15","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","3","940","0.28"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","32","9,422","2.86"
"Eritrean Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,170","0.35"
"Ethiopian Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","4","1,175","0.36"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","8","1,510","0.46"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","18","",""
"Evangelical Friends Church International","Evangelical Protestant","Friends/Brethren Family","2","116","0.04"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","28","7,323","2.22"
"Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","1","38","0.01"
"Evangelical Methodist Church","Evangelical Protestant","Methodist Family","1","",""
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Every Nation","Evangelical Protestant","","3","",""
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","1","",""
"Fellowship of Grace Brethren Churches","Mainline Protestant","Friends/Brethren Family","2","",""
"Free Methodist Church – USA","Evangelical Protestant","Holiness Family","3","435","0.13"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","2","346","0.10"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","5","900","0.27"
"Full Gospel Christian Assemblies International","Evangelical Protestant","Pentecostal Family","1","1,400","0.42"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","6","",""
"General Church of the New Jerusalem","Other Christians","Spiritualist Family","1","",""
"General Conference of the Church of God (Seventh Day)","Evangelical Protestant","Adventist Family","2","",""
"Grace Communion International","Evangelical Protestant","","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","3","4,000","1.21"
"Hindu Yoga and Meditation","Hinduism","","21","6,549","1.99"
"Hindu, Traditional Temples","Hinduism","Hinduism Family","2","1,700","0.52"
"Independent Judaism","Judaism","","1","0","0.00"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","19","3,672","1.11"
"International Churches of Christ","Evangelical Protestant","Baptist Family","1","1,384","0.42"
"International Communion of the Charismatic Episcopal Church","Evangelical Protestant","Anglican/Episcopal Family","1","",""
"Jain","Other","Other Groups Family","1","",""
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","174","46,936","14.23"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","37","7,085","2.15"
"Lutheran Congregations in Mission for Christ","Evangelical Protestant","Lutheran Family","5","3,226","0.98"
"Malankara (Indian) Orthodox Syrian Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","19","0.01"
"Malankara Archdiocese of the Syrian Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","50","0.02"
"Mennonite Church, USA","Evangelical Protestant","Mennonite/Amish Family","1","8","0.00"
"Missionary Church, The","Evangelical Protestant","Holiness Family","4","195","0.06"
"Muslim Estimate","Islam","Islam Family","26","50,816","15.41"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","5","393","0.12"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","3","1,000","0.30"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","9","2,390","0.72"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","9","2,458","0.75"
"Nazarene Christian Congregation (Side A or B)","Evangelical Protestant","Froehlich Churches Family","2","13","0.00"
