"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","500","14.33"
"Baha'i Faith","Other","Other Groups Family","0","19","0.54"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","3","",""
"Catholic Church","Catholic","Catholic Liturgical Family","3","3,389","97.12"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","35","1.00"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","3","1,341","38.43"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","1","187","5.36"
"Churches of Christ","Evangelical Protestant","Restorationists Family","1","50","1.43"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","31","0.89"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","450","12.90"
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","34","0.97"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","1","192","5.50"
"Mennonite Christian Fellowship","Evangelical Protestant","Mennonite/Amish Family","1","51","1.46"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","5","651","18.66"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","2","217","6.22"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","2","282","8.08"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","6","433","12.41"
"United Methodist Church","Mainline Protestant","Methodist Family","1","292","8.37"
" "," "," ","41.0","8,154.0"," "
