"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","55","0.85"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","4","1,233","19.07"
"Baha'i Faith","Other","Other Groups Family","0","49","0.76"
"Buddhism, Mahayana","Buddhism","Buddhism Family","2","57","0.88"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholic Liturgical Family","6","6,857","106.04"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","1","87","1.35"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","1","30","0.46"
"Church of Christ, Scientist","Other Christians","Christian Science Family","1","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","29","0.45"
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","2,294","35.48"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","2","146","2.26"
"Churches of Christ","Evangelical Protestant","Restorationists Family","4","190","2.94"
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","1","158","2.44"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","1","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","1","70","1.08"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","300","4.64"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","1","90","1.39"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","1","",""
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","1","77","1.19"
"Hinduism: Hindu Renaissance","Hinduism","Hinduism Family","1","375","5.80"
"Holy Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","50","0.77"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","1","0","0.00"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","1","29","0.45"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","65","1.01"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","3","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","2","145","2.24"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","10","1,219","18.85"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","1","109","1.69"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","185","2.86"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","4","654","10.11"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","9","1,224","18.93"
"Unitarian Universalist Association","Other Christians","Liberal Family","1","70","1.08"
"United Methodist Church","Mainline Protestant","Methodist Family","7","654","10.11"
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","81.0","16,501.0"," "
