"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","1","202","1.12"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","1","194","1.08"
"American Sikh Council","Other","Other Groups Family","1","",""
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","16","3,122","17.37"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","140","0.78"
"Baha'i Faith","Other","Other Groups Family","0","127","0.71"
"Catholic Church","Catholic","Catholic Liturgical Family","12","135,485","753.94"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","776","4.32"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","126","0.70"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","1","0","0.00"
"Church of God in Christ","Black Protestant","Pentecostal Family","1","126","0.70"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","2","",""
"Church of Jesus Christ (Bickertonite)","Latter-day Saints","Latter-day Saints (Mormonism) Family","1","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","5","2,915","16.22"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","9","543","3.02"
"Churches of Christ","Evangelical Protestant","Restorationists Family","6","235","1.31"
"Dunkard Brethren Church","Evangelical Protestant","Friends/Brethren Family","1","4","0.02"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","2","42","0.23"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","1","126","0.70"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","2","",""
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","272","1.51"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","15","4,124","22.95"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","4","478","2.66"
"Muslim Estimate","Islam","Islam Family","1","110","0.61"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","1","70","0.39"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","9","1,870","10.41"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","",""
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","2","209","1.16"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Primitive Baptists Associations","Evangelical Protestant","Baptist Family","1","94","0.52"
"Salvation Army","Evangelical Protestant","Holiness Family","1","210","1.17"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","5","871","4.85"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","9","2,250","12.52"
"United Methodist Church","Mainline Protestant","Methodist Family","3","303","1.69"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","1","",""
" "," "," ","124.0","155,024.0"," "
